Organism,Weight(mg)
Anomopoda,0.000419316
Cloeon,0.000384989
Copepods,0.002352724
Daphnia,0.001859992
Naupli,0.000423959
Ostracods,0.002802182
Asplanchna,0.002946519
Keratella_cochlearis,0.000171408
Keratella_quadrata,0.000474366
Keratella_serrulata,0.000158731
Lepadella,0.001043309
Notholca,0.008702457
Synchaeta,0.000463065
